Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
ECOPETROL;3990,0;3.5;53916110690,0;13631988,0;135,0;3900,0;4000,0;3875,0;3955,12;ECOPETROL
PREC;60080,0;1.25;33647086320,0;551971,0;-760,0;61500,0;61800,0;60080,0;60958,07;PACIFIC EXPLOR AND PROD CORP
BCOLOMBIA;29420,0;1.17;17579295060,0;597299,0;340,0;29100,0;29580,0;29100,0;29431,32;BANCO BANCOLOMBIA
PFBCOLOM;30620,0;0.99;8465662860,0;276330,0;300,0;30440,0;30800,0;30400,0;30636,06;BANCO BANCOLOMBIA
GRUPOSURA;39500,0;1.91;7227272680,0;184675,0;740,0;38800,0;39500,0;38800,0;39135,09;GRUPO SURA
INVERARGOS;21120,0;4.35;7093606820,0;345232,0;880,0;20240,0;21120,0;20020,0;20547,36;GRUPO ARGOS
PFDAVVNDA;22800,0;1.33;6207761380,0;272749,0;300,0;22540,0;22880,0;22520,0;22759,98;BANCO DAVIVIENDA
CORFICOLCF;35200,0;1.03;4169031280,0;118698,0;360,0;35100,0;35200,0;34840,0;35123,01;CORFICOLOMBIANA
ISA;13820,0;2.07;4015030820,0;292967,0;280,0;13520,0;13820,0;13520,0;13704,72;ISA INTERCONEXION ELECTRICA
TABLEMAC;9,5;6.15;3829473241,71;414903515,0;0,55;9,05;9,5;8,95;9,23;TABLEMAC
CEMARGOS;11840,0;3.14;3643931200,0;311988,0;360,0;11420,0;11840,0;11400,0;11679,72;CEMENTOS ARGOS
ISAGEN;2500,0;0.2;3174876645,0;1266532,0;5,0;2500,0;2525,0;2495,0;2506,75;ISAGEN
EXITO;23600,0;0.6;2884569140,0;122198,0;140,0;23320,0;23780,0;23320,0;23605,7;EXITO
EEB;158000,0;2.6;2761592840,0;17770,0;4000,0;154000,0;159800,0;153980,0;155407,59;GRUPO ENERGIA BOGOTA
OCCIDENTE;36500,0;0.27;2737500000,0;75000,0;-100,0;36500,0;36500,0;36500,0;36500,0;BANCO DE OCCIDENTE
GRUPOAVAL;1455,0;3.19;2662886680,0;1829615,0;45,0;1425,0;1470,0;1425,0;1455,44;GRUPO AVAL ACCIONES Y VALORES
CNEC;3090,0;1.31;2607785615,0;840751,0;40,0;3150,0;3150,0;3080,0;3101,73;CANACOL ENERGY LTD
MINEROS;7700,0;0.65;2287804060,0;296077,0;50,0;7600,0;7770,0;7600,0;7727,06;MINEROS
CHOCOLATES;26000,0;2.36;2211757280,0;87205,0;600,0;25320,0;26000,0;25300,0;25362,73;GRUPO NUTRESA
INTERBOLSA;2900,0;3.57;1626812200,0;564016,0;100,0;2840,0;2950,0;2840,0;2884,34;INTERBOLSA S.A.
BOGOTA;51000,0;0.95;1174801840,0;23063,0;480,0;51000,0;51440,0;50500,0;50938,81;BANCO DE BOGOTA
ETB;689,0;2.84;1142771499,0;1679124,0;19,0;675,0;689,0;675,0;680,58;ETB
SIE;14400,0;2.86;651869060,0;45668,0;400,0;14000,0;14400,0;14000,0;14274,09;SOCIEDAD INVERSIONES ENERGIA
PROENERGIA;8600,0;0.12;528891400,0;61499,0;-10,0;8600,0;8600,0;8600,0;8600,0;PROENERGIA INTERNACIONAL S.A.
FABRICATO;26,9;0.0;443101250,8;16574335,0;0,0;27,3;27,3;26,6;26,73;FABRICATO
PFHELMBANK;438,0;2.58;431437382,0;993773,0;11,0;430,0;440,0;430,0;434,14;HELM BANK S.A.
ODINSA;7500,0;0.0;291097500,0;38813,0;0,0;7500,0;7500,0;7500,0;7500,0;ODINSA
PROMIGAS;33000,0;0.0;272382000,0;8254,0;0,0;33000,0;33000,0;33000,0;33000,0;PROMIGAS
BIOMAX;1530,0;0.66;228391500,0;149193,0;10,0;1530,0;1540,0;1530,0;1530,85;BIOMAX BIOCOMBUSTIBLES S.A.
COLINVERS;5940,0;2.06;181194050,0;30419,0;120,0;5950,0;5990,0;5940,0;5956,61;CELSIA
VALOREM;430,0;3.61;132756310,0;312726,0;15,0;415,0;430,0;415,0;424,51;VALOREM S.A.
COLTEJER;0,85;3.66;107418464,16;128562981,0;0,03;0,84;0,85;0,84;0,84;COLTEJER
CARTON;7960,0;0.0;95520000,0;12000,0;0,0;7960,0;7960,0;7960,0;7960,0;CARTON COLOMBIA
ENKA;13,1;0.77;53956598,5;4129435,0;0,1;13,1;13,1;13,1;13,07;ENKA DE COLOMBIA
BVC;0,0;0.0;52692208,8;1243307,0;0,0;0,0;0,0;0,0;42,38;BOLSA DE VALORES DE COLOMBIA
BBVACOL;300,0;3.45;36050700,0;120169,0;10,0;300,0;300,0;300,0;300,0;BBVA COLOMBIA
PAZRIO;0,0;0.0;14455796,0;331940,0;0,0;0,0;0,0;0,0;43,55;ACER. PAZ DEL RIO
BMC;0,0;0.0;1060000,0;500,0;0,0;0,0;0,0;0,0;2120,0;BMC BOLSA MERCANTIL DE COL
VILLAS;0,0;0.0;579200,0;80,0;0,0;0,0;0,0;0,0;7240,0;BANCO AV VILLAS
