Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
GRUPOSURA;39900,0;0.25;29873266580,0;748903,0;-100,0;39900,0;39900,0;39720,0;39889,37;GRUPO SURA
PFGRUPSURA;39900,0;0.25;28754257140,0;720861,0;100,0;39800,0;39920,0;39800,0;39888,77;GRUPO SURA
ECOPETROL;3340,0;0.89;17699744500,0;5305288,0;-30,0;3370,0;3370,0;3305,0;3336,25;ECOPETROL
PREC;38400,0;1.8;9419337840,0;245484,0;680,0;38000,0;38660,0;37980,0;38370,48;PACIFIC EXPLOR AND PROD CORP
PFCEMARGOS;11460,0;0.0;4820888500,0;422028,0;0,0;11140,0;11600,0;11140,0;11423,15;CEMENTOS ARGOS
CEMARGOS;11900,0;1.65;3659807500,0;305619,0;-200,0;12000,0;12000,0;11900,0;11975,07;CEMENTOS ARGOS
ICOLCAP;17120,0;0.23;3571330000,0;208500,0;-39,0;17160,0;17160,0;17120,0;17128,68;FONDO BURSATIL ISHARES COLCAP
PFAVH;3800,0;0.53;3293417330,0;876798,0;20,0;3770,0;3800,0;3735,0;3756,19;AVIANCA HOLDINGS S.A.
PFBCOLOM;27340,0;0.07;2533595420,0;92856,0;-20,0;27300,0;27340,0;27160,0;27285,21;BANCO BANCOLOMBIA
GRUPOARGOS;22480,0;0.09;1994182700,0;88723,0;-20,0;22500,0;22500,0;22400,0;22476,5;GRUPO ARGOS
PFGRUPOARG;22500,0;0.44;1830321460,0;81094,0;-100,0;22400,0;22600,0;22400,0;22570,37;GRUPO ARGOS
CNEC;12700,0;4.1;1774073760,0;140997,0;500,0;12180,0;12700,0;12180,0;12582,35;CANACOL ENERGY LTD
EXITO;31880,0;0.25;1671396320,0;52447,0;80,0;31800,0;31880,0;31800,0;31868,29;EXITO
ISA;9140,0;0.0;1581072030,0;173535,0;0,0;9140,0;9140,0;9040,0;9110,97;ISA INTERCONEXION ELECTRICA
PFDAVVNDA;30400,0;0.91;1331118620,0;43749,0;-280,0;30500,0;30500,0;30400,0;30426,26;BANCO DAVIVIENDA
BCOLOMBIA;26300,0;0.75;1133187260,0;43087,0;-200,0;26300,0;26340,0;26220,0;26299,98;BANCO BANCOLOMBIA
CELSIA;6060,0;0.16;1129380120,0;186191,0;-10,0;6080,0;6080,0;6050,0;6065,71;CELSIA
ETB;470,0;2.62;1117531246,0;2377260,0;12,0;468,0;474,0;467,0;470,09;ETB
CLH;18900,0;0.53;1080241080,0;57018,0;-100,0;19000,0;19000,0;18900,0;18945,62;CEMEX LATAM HOLDINGS
ISAGEN;3150,0;0.0;1020422915,0;324246,0;0,0;3150,0;3150,0;3135,0;3147,06;ISAGEN
CORFICOLCF;38580,0;0.47;980928300,0;25441,0;180,0;38080,0;38580,0;38080,0;38556,99;CORFICOLOMBIANA
PFAVAL;1350,0;0.37;850743580,0;630594,0;-5,0;1350,0;1355,0;1345,0;1349,11;GRUPO AVAL ACCIONES Y VALORES
BVC;23,6;0.85;827956164,2;35259556,0;0,2;23,5;23,6;23,3;23,48;BOLSA DE VALORES DE COLOMBIA
CONCONCRET;1520,0;2.01;619733885,0;409976,0;30,0;1490,0;1550,0;1490,0;1511,63;CONCONCRETO S.A
NUTRESA;27600,0;0.0;520029920,0;18880,0;0,0;27500,0;27600,0;27500,0;27543,96;GRUPO NUTRESA
ELCONDOR;1500,0;0.0;154707000,0;103138,0;0,0;1500,0;1500,0;1500,0;1500,0;EL CONDOR
ODINSA;8210,0;0.0;147765260,0;18000,0;0,0;8210,0;8210,0;8210,0;8209,18;ODINSA
GRUPOAVAL;1355,0;0.37;130575750,0;96445,0;5,0;1355,0;1355,0;1355,0;1353,89;GRUPO AVAL ACCIONES Y VALORES
BOGOTA;68500,0;0.44;92042000,0;1343,0;-300,0;68500,0;68500,0;68500,0;68534,62;BANCO DE BOGOTA
ENKA;11,4;3.64;61660263,8;5537567,0;0,4;11,0;11,4;11,0;11,13;ENKA DE COLOMBIA
PFCORFICOL;34980,0;2.58;34980000,0;1000,0;880,0;34980,0;34980,0;34980,0;34980,0;CORFICOLOMBIANA
FABRICATO;0,0;0.0;24328784,4;1398206,0;0,0;0,0;0,0;0,0;17,4;FABRICATO
TABLEMAC;7,0;4.11;19715339,0;2816477,0;-0,3;7,0;7,0;7,0;7,0;TABLEMAC
CARTON;0,0;0.0;10000000,0;2000,0;0,0;0,0;0,0;0,0;5000,0;CARTON COLOMBIA
SDCORFIC;0,0;0.0;5309480,0;144,0;0,0;0,0;0,0;0,0;36871,39;CORFICOLOMBIANA
BBVACOL;0,0;0.0;4296600,0;13860,0;0,0;0,0;0,0;0,0;310,0;BBVA COLOMBIA
EEB;0,0;0.0;3322500,0;2100,0;0,0;0,0;0,0;0,0;1582,14;GRUPO ENERGIA BOGOTA
PAZRIO;0,0;0.0;707000,0;70000,0;0,0;0,0;0,0;0,0;10,1;ACER. PAZ DEL RIO
