Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;34000,0;0,18;36227309580;1067505;60,00;33660,0;34000,0;33660,0;33936,43;BANCO BANCOLOMBIA;EQTY
GRUPOSURA;32280,0;0,06;20806677380;645778;20,00;32260,0;32280,0;32140,0;32219,55;GRUPO SURA;EQTY
ECOPETROL;2900,0;-1,19;18336734555;6321562;-35,00;2900,0;2920,0;2880,0;2900,67;ECOPETROL;EQTY
ICOLCAP;14061,0;0,75;14407035787;1026070;105,00;14029,0;14061,0;14012,0;14040,99;FONDO BURSATIL ISHARES COLCAP;EQTY
EEB;1795,0;1,13;12322015705;6996996;20,00;1765,0;1795,0;1760,0;1761,04;GRUPO ENERGIA BOGOTA;EQTY
PFDAVVNDA;34280,0;1,42;8703099660;255214;480,00;33160,0;34480,0;33160,0;34101,18;BANCO DAVIVIENDA;EQTY
ISA;14380,0;1,13;6490397240;453186;160,00;14260,0;14400,0;14220,0;14321,71;ISA INTERCONEXION ELECTRICA;EQTY
HCOLSEL;12757,0;0,54;6378500000;500000;68,00;12757,0;12757,0;12757,0;12757,0;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PFAVAL;1080,0;0,93;5191117750;4830626;10,00;1070,0;1080,0;1055,0;1074,63;GRUPO AVAL ACCIONES Y VALORES;EQTY
BCOLOMBIA;33500,0;1,21;4826992060;144806;400,00;33000,0;33500,0;33000,0;33334,2;BANCO BANCOLOMBIA;EQTY
EXITO;13100,0;1,39;4165476640;320260;180,00;12860,0;13160,0;12740,0;13006,55;EXITO;EQTY
GRUPOARGOS;17080,0;-0,12;2905776580;170232;-20,00;17100,0;17100,0;17000,0;17069,51;GRUPO ARGOS;EQTY
PFGRUPSURA;30900,0;0,00;2761431040;89471;0,00;30540,0;31000,0;30460,0;30863,98;GRUPO SURA;EQTY
CEMARGOS;7100,0;0,00;2554599730;359830;0,00;7100,0;7100,0;7040,0;7099,46;CEMENTOS ARGOS;EQTY
NUTRESA;23600,0;0,94;1611598280;68376;220,00;23380,0;23660,0;23380,0;23569,65;GRUPO NUTRESA;EQTY
CELSIA;3960,0;0,38;1573800810;397501;15,00;3940,0;3960,0;3940,0;3959,24;CELSIA;EQTY
PFGRUPOARG;13740,0;-0,15;654403720;47022;-20,00;13620,0;14000,0;13620,0;13916,97;GRUPO ARGOS;EQTY
BOGOTA;58000,0;0,00;517367540;8905;0,00;58000,0;58900,0;58000,0;58098,54;BANCO DE BOGOTA;EQTY
PFAVH;1795,0;0,56;360335925;201772;10,00;1780,0;1795,0;1780,0;1785,86;AVIANCA HOLDINGS S.A.;EQTY
CORFICOLCF;16460,0;-0,24;353789160;21510;-40,00;16500,0;16500,0;16400,0;16447,66;CORFICOLOMBIANA;EQTY
CNEC;10040,0;0,40;281111300;27900;40,00;10100,0;10160,0;9850,0;10075,67;CANACOL ENERGY LTD;EQTY
PFCEMARGOS;5560,0;1,09;275831030;49568;60,00;5550,0;5600,0;5550,0;5564,7;CEMENTOS ARGOS;EQTY
CLH;3835,0;2,27;267296350;69682;85,00;3840,0;3840,0;3815,0;3835,95;CEMEX LATAM HOLDINGS;EQTY
MINEROS;2000,0;0,00;168638000;84319;0,00;2000,0;2000,0;2000,0;2000,0;MINEROS;EQTY
BVC;11880,0;-0,17;137116500;11525;-20,00;11900,0;11900,0;11880,0;11897,31;BOLSA DE VALORES DE COLOMBIA;EQTY
GRUPOAVAL;1085,0;3,33;99755070;94187;35,00;1065,0;1085,0;1050,0;1059,12;GRUPO AVAL ACCIONES Y VALORES;EQTY
ETB;254,0;0,00;50984215;201873;0,00;254,0;254,0;254,0;252,56;ETB;EQTY
PROMIGAS;5380,0;0,00;34744600;6462;0,00;5380,0;5380,0;5380,0;5376,76;PROMIGAS;EQTY
CONCONCRET;0,0;0,00;8261864;22100;0,00;0,0;0,0;0,0;373,84;CONCONCRETO S.A;EQTY
VILLAS;0,0;0,00;2475000;500;0,00;0,0;0,0;0,0;4950,0;BANCO AV VILLAS;EQTY
