Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ICOLCAP;16080,0;-0,23;38315742612;2372606;-36,50;16170,0;16187,0;16051,0;16149,22;FONDO BURSATIL ISHARES COLCAP;EQTY
HCOLSEL;14755,0;0,41;22132390000;1500000;60,00;14751,0;14755,0;14751,0;14754,93;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
ECOPETROL;2995,0;1,53;18085478500;6035505;45,00;2940,0;3015,0;2940,0;2996,51;ECOPETROL;EQTY
PFBCOLOM;42920,0;0,47;6812080340;158513;200,00;43300,0;43520,0;42740,0;42974,9;BANCO BANCOLOMBIA;EQTY
BCOLOMBIA;40000,0;1,27;4729885900;118495;500,00;40000,0;40000,0;39460,0;39916,33;BANCO BANCOLOMBIA;EQTY
ISA;19000,0;-0,11;3335537120;175426;-20,00;19020,0;19360,0;18980,0;19013,93;ISA INTERCONEXION ELECTRICA;EQTY
PFGRUPSURA;29300,0;-0,20;2820304280;96358;-60,00;29440,0;29620,0;29080,0;29269,02;GRUPO SURA;EQTY
CELSIA;4295,0;-0,35;2799968765;653481;-15,00;4340,0;4340,0;4260,0;4284,7;CELSIA;EQTY
GRUPOSURA;33140,0;-0,06;2560249440;77200;-20,00;33160,0;33300,0;33020,0;33163,85;GRUPO SURA;EQTY
PFAVAL;1310,0;1,95;2477370355;1904094;25,00;1295,0;1310,0;1290,0;1301,08;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUPOARGOS;17480,0;-0,11;2378349960;136705;-20,00;17600,0;17600,0;17080,0;17397,68;GRUPO ARGOS;EQTY
PFDAVVNDA;42660,0;0,66;2291039760;53696;280,00;42420,0;42880,0;42100,0;42666,86;BANCO DAVIVIENDA;EQTY
CEMARGOS;7510,0;0,13;1906351440;253572;10,00;7580,0;7580,0;7510,0;7517,99;CEMENTOS ARGOS;EQTY
BOGOTA;80300,0;0,38;1561728620;19503;300,00;80300,0;80300,0;80000,0;80076,33;BANCO DE BOGOTA;EQTY
GEB;2215,0;-0,23;1024598100;462200;-5,00;2220,0;2220,0;2210,0;2216,79;GRUPO ENERGIA BOGOTA;EQTY
CORFICOLCF;28000,0;0,00;963279160;34343;0,00;28280,0;28280,0;27800,0;28048,78;CORFICOLOMBIANA;EQTY
NUTRESA;25340,0;-0,24;934980340;36908;-60,00;25400,0;25440,0;25220,0;25332,73;GRUPO NUTRESA;EQTY
PFAVH;1585,0;-3,94;910082295;559439;-65,00;1650,0;1660,0;1585,0;1626,78;AVIANCA HOLDINGS S.A.;EQTY
PROMIGAS;8030,0;0,38;801215040;98954;30,00;8020,0;8100,0;8010,0;8096,84;PROMIGAS;EQTY
PFGRUPOARG;13400,0;0,75;772551040;58645;100,00;13120,0;13400,0;13040,0;13173,35;GRUPO ARGOS;EQTY
PFCEMARGOS;6020,0;2,56;702593020;117915;150,00;5870,0;6020,0;5870,0;5958,47;CEMENTOS ARGOS;EQTY
CLH;4435,0;0,00;633253135;142372;0,00;4475,0;4495,0;4420,0;4447,88;CEMEX LATAM HOLDINGS;EQTY
TERPEL;10700,0;3,88;254484720;23807;400,00;10680,0;10700,0;10680,0;10689,49;ORGANIZACION TERPEL;EQTY
GRUPOAVAL;1295,0;0,00;240137280;185840;0,00;1295,0;1295,0;1280,0;1292,17;GRUPO AVAL ACCIONES Y VALORES;EQTY
MINEROS;3500,0;0,00;220617440;63031;0,00;3500,0;3500,0;3500,0;3500,14;MINEROS;EQTY
PFCORFICOL;24000,0;0,00;165720000;6905;0,00;24000,0;24000,0;24000,0;24000,0;CORFICOLOMBIANA;EQTY
CONCONCRET;455,0;-0,22;142857175;311894;-1,00;460,0;461,0;455,0;458,03;CONCONCRETO S.A;EQTY
CNEC;11300,0;0,53;117117320;10436;60,00;11220,0;11300,0;11200,0;11222,43;CANACOL ENERGY LTD;EQTY
BVC;11220,0;-0,71;67016440;5965;-80,00;11240,0;11240,0;11220,0;11234,94;BOLSA DE VALORES DE COLOMBIA;EQTY
ELCONDOR;1230,0;2,50;57076365;47129;30,00;1185,0;1230,0;1185,0;1211,07;EL CONDOR;EQTY
ETB;263,0;1,15;47450840;182980;3,00;257,0;263,0;257,0;259,32;ETB;EQTY
GRUBOLIVAR;76000,0;-0,63;28576000;376;-480,00;76000,0;76000,0;76000,0;76000,0;GRUPO BOLIVAR;EQTY
FABRICATO;5,5;5,16;11000000;2000000;0,27;5,5;5,5;5,5;5,5;FABRICATO;EQTY
VILLAS;6000,0;12,15;9000000;1500;650,00;6000,0;6000,0;6000,0;6000,0;BANCO AV VILLAS;EQTY
COLTEJER;0,0;0,00;167835;167;0,00;0,0;0,0;0,0;1005,0;COLTEJER;EQTY
