Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
GRUPOSURA;24840,0;2.2;34365489280,0;1370293,0;-560,0;25420,0;25600,0;24800,0;25078,94;GRUPO SURA
ECOPETROL;2390,0;2.65;27786764460,0;11534968,0;-65,0;2455,0;2455,0;2380,0;2408,92;ECOPETROL
ETB;1130,0;4.64;27450287440,0;23749902,0;-55,0;1185,0;1190,0;1130,0;1155,81;ETB
CEMARGOS;11400,0;2.56;13094979260,0;1143873,0;-300,0;11660,0;11760,0;11340,0;11447,93;CEMENTOS ARGOS
PREC;26220,0;3.25;9877120040,0;372123,0;-880,0;27120,0;27120,0;25980,0;26542,62;PACIFIC EXPLOR AND PROD CORP
INVERARGOS;20380,0;1.07;9430790060,0;467117,0;-220,0;20300,0;20380,0;19840,0;20189,35;GRUPO ARGOS
ISA;12460,0;1.58;5469034880,0;436177,0;-200,0;12640,0;12660,0;12460,0;12538,57;ISA INTERCONEXION ELECTRICA
PFBCOLOM;22040,0;2.13;5273527580,0;235362,0;-480,0;22600,0;22680,0;22040,0;22406,03;BANCO BANCOLOMBIA
ISAGEN;2230,0;0.89;3725685155,0;1664313,0;-20,0;2260,0;2260,0;2220,0;2238,57;ISAGEN
EXITO;19000,0;0.52;2647355920,0;139609,0;-100,0;19100,0;19100,0;18500,0;18962,65;EXITO
FABRICATO;29,7;5.71;2359295033,4;77422006,0;-1,8;31,8;31,9;29,6;30,47;FABRICATO
TABLEMAC;6,08;2.72;2213706388,14;359782949,0;-0,17;6,33;6,33;6,05;6,15;TABLEMAC
GRUPOAVAL;750,0;2.34;2048879761,0;2713286,0;-18,0;761,0;763,0;750,0;755,13;GRUPO AVAL ACCIONES Y VALORES
CHOCOLATES;20620,0;1.34;1749001300,0;84913,0;-280,0;20700,0;20700,0;20560,0;20597,57;GRUPO NUTRESA
BCOLOMBIA;22220,0;1.24;1635932720,0;73050,0;-280,0;22500,0;22500,0;22220,0;22394,7;BANCO BANCOLOMBIA
INTERBOLSA;2420,0;1.26;1428285525,0;589996,0;30,0;2340,0;2490,0;2340,0;2420,84;INTERBOLSA S.A.
CORFICOLCF;22760,0;1.04;1237966460,0;54299,0;-240,0;23000,0;23000,0;22760,0;22799,07;CORFICOLOMBIANA
EEB;122000,0;1.71;967207040,0;7872,0;-2120,0;124100,0;124100,0;122000,0;122866,75;GRUPO ENERGIA BOGOTA
VALOREM;351,0;4.88;775199101,0;2208211,0;-18,0;355,0;355,0;350,0;351,05;VALOREM S.A.
COLINVERS;51400,0;1.72;560285800,0;10895,0;-900,0;51800,0;51800,0;51400,0;51425,96;CELSIA
BOGOTA;33600,0;0.59;509745600,0;15171,0;-200,0;33600,0;33600,0;33600,0;33600,0;BANCO DE BOGOTA
SDISA;12480,0;0.95;450981860,0;36057,0;-120,0;12600,0;12600,0;12480,0;12507,47;ISA INTERCONEXION ELECTRICA
BNA;2630,0;1.15;417441060,0;156912,0;30,0;2655,0;2680,0;2600,0;2660,35;BMC BOLSA MERCANTIL DE COL
PFHELMBANK;438,0;0.45;413829454,0;942533,0;-2,0;440,0;440,0;438,0;439,06;HELM BANK S.A.
BBVACOL;150,0;1.96;394500000,0;2600000,0;-3,0;153,0;153,0;150,0;151,73;BBVA COLOMBIA
BVC;29,0;3.33;390775971,6;13177592,0;-1,0;30,2;30,2;29,0;29,65;BOLSA DE VALORES DE COLOMBIA
ENKA;8,05;3.01;342143597,91;42367069,0;-0,25;8,3;8,3;8,0;8,08;ENKA DE COLOMBIA
MINEROS;5500,0;1.79;310157600,0;56032,0;-100,0;5560,0;5560,0;5500,0;5535,37;MINEROS
SIE;14300,0;2.14;280040380,0;19646,0;300,0;14240,0;14300,0;14240,0;14254,32;SOCIEDAD INVERSIONES ENERGIA
BIOMAX;795,0;0.25;260985610,0;328158,0;-2,0;796,0;796,0;795,0;795,3;BIOMAX BIOCOMBUSTIBLES S.A.
PFCORFICOL;21780,0;3.91;238434160,0;10950,0;820,0;21780,0;21780,0;21780,0;21774,81;CORFICOLOMBIANA
PAZRIO;40,0;14.35;142240024,0;3410854,0;-6,7;45,4;45,4;40,0;41,7;ACER. PAZ DEL RIO
CARTON;8000,0;2.44;120000000,0;15000,0;-200,0;8000,0;8000,0;8000,0;8000,0;CARTON COLOMBIA
COLTEJER;0,99;1.0;47525723,19;48005781,0;-0,01;0,99;0,99;0,99;0,99;COLTEJER
PROMIGAS;33580,0;1.18;30330740,0;903,0;-400,0;33600,0;33600,0;33580,0;33588,86;PROMIGAS
