Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2870,0;1,95;19932755200;7063770;55,00;2810,0;2870,0;2740,0;2821,83;ECOPETROL;EQTY
PFBCOLOM;38920,0;2,42;12668547780;327677;920,00;37900,0;39180,0;37900,0;38661,69;BANCO BANCOLOMBIA;EQTY
PFDAVVNDA;37480,0;0,48;8434343460;225236;180,00;37300,0;37760,0;37300,0;37446,69;BANCO DAVIVIENDA;EQTY
ISA;15700,0;0,77;7798657480;496584;120,00;15660,0;15780,0;15640,0;15704,61;ISA INTERCONEXION ELECTRICA;EQTY
CEMARGOS;7160,0;1,27;6809304030;958581;90,00;7110,0;7360,0;7040,0;7103,52;CEMENTOS ARGOS;EQTY
BCOLOMBIA;36860,0;3,54;4731492440;129572;1260,00;35980,0;37480,0;35960,0;36516,32;BANCO BANCOLOMBIA;EQTY
PFAVAL;1165,0;0,87;4254147110;3641654;10,00;1160,0;1175,0;1160,0;1168,19;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFGRUPSURA;30280,0;1,95;3523205360;116497;580,00;29700,0;30660,0;29700,0;30242,88;GRUPO SURA;EQTY
EXITO;13720,0;-0,58;3434639280;249204;-80,00;13920,0;13920,0;13680,0;13782,44;EXITO;EQTY
GRUPOSURA;33500,0;1,27;3414774500;102303;420,00;33440,0;33880,0;33140,0;33379,03;GRUPO SURA;EQTY
PFGRUPOARG;13920,0;1,61;3241411480;235090;220,00;13760,0;13920,0;13700,0;13787,96;GRUPO ARGOS;EQTY
GEB;2100,0;0,00;2557096010;1211333;0,00;2105,0;2120,0;2100,0;2110,98;GRUPO ENERGIA BOGOTA;EQTY
GRUPOARGOS;17200,0;1,90;2177489560;127156;320,00;16880,0;17340,0;16880,0;17124,55;GRUPO ARGOS;EQTY
CORFICOLCF;23180,0;2,11;2069318740;89732;480,00;22820,0;23260,0;22820,0;23061,1;CORFICOLOMBIANA;EQTY
NUTRESA;25000,0;0,00;1460527280;58052;0,00;25180,0;25500,0;25000,0;25158,95;GRUPO NUTRESA;EQTY
GRUBOLIVAR;52000,0;0,00;597318240;11487;0,00;51980,0;52000,0;51980,0;51999,5;GRUPO BOLIVAR;EQTY
ICOLCAP;15050,0;1,37;479204792;31857;204,00;15035,0;15050,0;15000,0;15042,37;FONDO BURSATIL ISHARES COLCAP;EQTY
PFCEMARGOS;6010,0;0,67;454048650;75151;40,00;5980,0;6390,0;5980,0;6041,82;CEMENTOS ARGOS;EQTY
CELSIA;4225,0;-1,74;443833740;103968;-75,00;4340,0;4340,0;4225,0;4268,95;CELSIA;EQTY
BOGOTA;65520,0;0,03;411520200;6270;20,00;66000,0;66000,0;65520,0;65633,21;BANCO DE BOGOTA;EQTY
HCOLSEL;13600,0;1,45;270847500;20000;195,00;13440,0;13600,0;13440,0;13542,38;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PFAVH;1665,0;-2,92;270172270;158649;-50,00;1750,0;1755,0;1660,0;1702,96;AVIANCA HOLDINGS S.A.;EQTY
GRUPOAVAL;1150,0;-4,17;199953990;170627;-50,00;1165,0;1185,0;1150,0;1171,88;GRUPO AVAL ACCIONES Y VALORES;EQTY
ETB;242,0;2,54;71323070;295586;6,00;240,0;243,0;240,0;241,29;ETB;EQTY
CLH;4720,0;0,00;49889205;10590;0,00;4720,0;4720,0;4720,0;4710,97;CEMEX LATAM HOLDINGS;EQTY
BBVACOL;310,0;0,00;37816376;121783;0,00;311,0;311,0;310,0;310,52;BBVA COLOMBIA;EQTY
BVC;12180,0;0,16;36354840;2999;20,00;12100,0;12180,0;12100,0;12122,32;BOLSA DE VALORES DE COLOMBIA;EQTY
FABRICATO;6,0;9,09;35365812;5897802;0,50;6,0;6,0;6,0;6,0;FABRICATO;EQTY
MINEROS;2350,0;0,86;30550000;13000;20,00;2350,0;2350,0;2350,0;2350,0;MINEROS;EQTY
VILLAS;5170,0;0,39;19500000;3750;20,00;5170,0;5170,0;5170,0;5200,0;BANCO AV VILLAS;EQTY
PFCORFICOL;20000,0;0,00;15940000;797;0,00;20000,0;20000,0;20000,0;20000,0;CORFICOLOMBIANA;EQTY
CNEC;10160,0;-0,78;6370320;627;-80,00;10160,0;10160,0;10160,0;10160,0;CANACOL ENERGY LTD;EQTY
CONCONCRET;0,0;0,00;3111160;6367;0,00;0,0;0,0;0,0;488,64;CONCONCRETO S.A;EQTY
PAZRIO;0,0;0,00;12196;3049;0,00;0,0;0,0;0,0;4,0;ACER. PAZ DEL RIO;EQTY
