Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2347,0;-0,34;23297993613;10008144;-8,00;2350,0;2355,0;2292,0;2327,9;ECOPETROL;EQTY
PFBCOLOM;28280,0;-0,42;20725142150;736104;-120,00;28400,0;28400,0;28050,0;28155,18;BANCO BANCOLOMBIA;EQTY
PFDAVVNDA;29980,0;-0,40;11905276930;398063;-120,00;30000,0;30100,0;29700,0;29908,02;BANCO DAVIVIENDA;EQTY
HCOLSEL;11830,5;-0,37;9300347450;790900;-44,50;11767,0;11830,5;11747,0;11759,2;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
CNEC;10160,0;2,21;5635089400;568303;220,00;9920,0;10160,0;9840,0;9915,64;CANACOL ENERGY LTD;EQTY
ICOLCAP;12855,0;-0,34;4936358981,5;384796;-44,00;12809,0;12855,0;12809,0;12828,51;FONDO BURSATIL ISHARES COLCAP;EQTY
ISA;21100,0;1,34;4743582870;224941;280,00;21430,0;21430,0;20790,0;21088,12;ISA INTERCONEXION ELECTRICA;EQTY
CORFICOLCF;30270,0;-1,08;3676263140;120545;-330,00;30500,0;30990,0;30270,0;30497,02;CORFICOLOMBIANA;EQTY
PFAVAL;1089,0;-1,00;3635447090;3332390;-11,00;1100,0;1100,0;1083,0;1090,94;GRUPO AVAL ACCIONES Y VALORES;EQTY
BCOLOMBIA;28250,0;-0,53;3315257020;117662;-150,00;28400,0;28400,0;27960,0;28176,11;BANCO BANCOLOMBIA;EQTY
GEB;2623,0;0,11;3129602429;1194631;3,00;2620,0;2645,0;2610,0;2619,72;GRUPO ENERGIA BOGOTA;EQTY
GRUPOSURA;19500,0;-0,56;2597450250;132975;-110,00;19610,0;19730,0;19360,0;19533,37;GRUPO SURA;EQTY
NUTRESA;22260,0;-0,63;2350513080;105817;-140,00;22200,0;22290,0;22190,0;22213,0;GRUPO NUTRESA;EQTY
GRUBOLIVAR;78880,0;1,32;1330918910;17012;1030,00;78000,0;78880,0;77840,0;78234,12;GRUPO BOLIVAR;EQTY
CEMARGOS;5350,0;-0,74;1006140995;187646;-40,00;5320,0;5390,0;5320,0;5361,91;CEMENTOS ARGOS;EQTY
GRUPOARGOS;10700,0;-2,73;568518160;52754;-300,00;10850,0;10900,0;10660,0;10776,78;GRUPO ARGOS;EQTY
CELSIA;4450,0;1,83;490861568;113519;80,00;4305,0;4450,0;4300,0;4324,05;CELSIA;EQTY
PFGRUPSURA;17820,0;0,68;336650450;18945;120,00;17760,0;17860,0;17700,0;17769,88;GRUPO SURA;EQTY
GRUPOAVAL;1030,0;-7,21;263912687;256208;-80,00;1030,0;1030,0;1030,0;1030,07;GRUPO AVAL ACCIONES Y VALORES;EQTY
BVC;11720,0;-0,26;242154530;20656;-30,00;11740,0;11830,0;11680,0;11723,21;BOLSA DE VALORES DE COLOMBIA;EQTY
PFCORFICOL;25500,0;-0,39;151627250;6165;-100,00;24000,0;25500,0;23500,0;24594,85;CORFICOLOMBIANA;EQTY
BOGOTA;73660,0;-0,86;96696980;1312;-640,00;74300,0;74300,0;73660,0;73701,97;BANCO DE BOGOTA;EQTY
PFGRUPOARG;8980,0;0,67;83238345;9332;60,00;8900,0;8980,0;8900,0;8919,67;GRUPO ARGOS;EQTY
FABRICATO;4,8;-3,03;69626478;14501710;-0,15;4,8;4,8;4,8;4,8;FABRICATO;EQTY
PROMIGAS;7300,0;-0,68;66299170;9027;-50,00;7400,0;7400,0;7300,0;7344,54;PROMIGAS;EQTY
PFCEMARGOS;3984,0;1,58;62175962;15967;62,00;3900,0;3984,0;3850,0;3894,03;CEMENTOS ARGOS;EQTY
CLH;3765,0;0,40;56823200;15100;15,00;3761,0;3765,0;3760,0;3763,13;CEMEX LATAM HOLDINGS;EQTY
CONCONCRET;394,5;-0,13;51566172,1;131283;-0,50;391,0;394,5;390,0;392,79;CONCONCRETO S.A;EQTY
MINEROS;4280,0;0,00;28671740;6699;0,00;4280,0;4280,0;4280,0;4280,0;MINEROS;EQTY
EXITO;11860,0;-3,58;10507960;886;-440,00;11860,0;11860,0;11860,0;11860,0;EXITO;EQTY
TERPEL;0,0;0,00;9086330;1161;0,00;0,0;0,0;0,0;7826,3;ORGANIZACION TERPEL;EQTY
ETB;0,0;0,00;6027985,8;29019;0,00;0,0;0,0;0,0;207,73;ETB;EQTY
VILLAS;0,0;0,00;5997690;1294;0,00;0,0;0,0;0,0;4635,0;BANCO AV VILLAS;EQTY
PFAVH;0,0;0,00;4324514;35248;0,00;0,0;0,0;0,0;122,69;AVIANCA HOLDINGS S.A.;EQTY
ENKA;0,0;0,00;4035441,15;265315;0,00;0,0;0,0;0,0;15,21;ENKA DE COLOMBIA;EQTY
COLTEJER;0,0;-;6500;13;-;0,0;0,0;0,0;500,0;COLTEJER;EQTY
